m/z	intensity	relative	noise
103.1398	0.825	0.0	0.4949747468305832
103.1401	1.45	0.0	0.35355339059327373
103.14056103896105	1.925	0.0	0.6928203230275509
103.1411	1.15	0.0	0.35355339059327373
103.1418	0.825	0.0	0.4949747468305832
103.14226865671642	1.675	0.0	0.5773502691896258
103.1429	0.5	0.0	0.35355339059327373
103.14330000000001	1.4	0.0	0.5773502691896258
103.1447	0.55	0.0	0.35355339059327373
103.1455	0.275	0.0	0.35355339059327373
103.1467	0.3	0.0	0.35355339059327373
103.147	0.325	0.0	0.35355339059327373
104.0333	0.5	0.0	0.35355339059327373
104.03439999999999	79.9	0.057499999999999996	1.0822569011098981
105.01839999999999	2.225	0.0	0.75
105.02101653543309	34.925	0.0225	1.1895881640298882
106.97988139534884	3.2249999999999996	0.0	1.0554240853799006
107.0129	0.575	0.0	0.35355339059327373
107.03678225806452	1.55	0.0	0.925
107.0493	1.2999999999999998	0.0	0.5773502691896258
108.0	11.0	0.005	0.9749256381899083
108.0191	0.9	0.0	0.35355339059327373
108.02073204909675	26356.125	17.675	0.9704535022349087
108.0222	3.175	0.0	0.6754998149518622
108.04152581453636	9.975	0.005	0.9704535022349087
108.04451802325582	4.3	0.0	0.9704535022349087
109.0241	798.775	0.535	0.8944271909999159
109.02721803278689	1.525	0.0	0.75
109.0285	1969.625	1.3175000000000001	0.8944271909999159
110.006	22.75	0.015	0.8944271909999159
110.02379999999998	11.8	0.005	0.8944271909999159
110.02495909090906	3.8500000000000005	0.0	0.8944271909999159
110.02759999999999	0.35	0.0	0.35355339059327373
110.03190000000001	21.625	0.015	0.8944271909999159
110.9747	0.275	0.0	0.35355339059327373
111.00779999999997	327.32500000000005	0.22000000000000003	0.8944271909999159
111.01902712238152	22.674999999999997	0.015	0.8944271909999159
111.04418035714288	2.8	0.0	0.8944271909999159
111.94619999999999	200.50000000000003	0.1325	0.8944271909999159
112.01570000000001	5.625	0.0025	0.75
112.05061929824564	1.4249999999999998	0.0	0.75
112.95402330097086	2.5749999999999997	0.0	0.95703709436991
112.9835	1.025	0.0	0.6004442799572108
112.98470000000002	58.75	0.037500000000000006	0.9615092303249095
113.02220696517412	5.0249999999999995	0.0025	0.9704535022349087
113.02340872501784	1717.475	1.1875	0.9704535022349087
113.03472636363637	2.75	0.0	0.9749256381899083
113.0598	0.35	0.0	0.3676955262170047
114.01875	0.8	0.0	0.7794228634059949
114.02360000000002	0.625	0.0	0.48083261120685233
114.02679999999998	15.825	0.0125	1.0150000000000001
114.03398258693363	94.89999999999999	0.0625	1.2477259314448828
114.05509999999998	13.75	0.0075	1.2611423393098813
115.00269999999999	987.5	0.6799999999999999	1.529470496609856
115.0199	33.85	0.0225	1.5339426325648557
115.02919999999999	528.5	0.34750000000000003	1.5384147685198555
115.03910000000002	44.55	0.03	1.542886904474855
115.0544	0.525	0.0	0.6505382386916237
115.0755	77.0	0.05	1.5518311763848538
116.00613736263738	2.275	0.0	1.1489270356873553
116.0326	1.225	0.0	1.2066620626063178
116.04959999999997	244.72500000000002	0.16	1.8291036055948278
116.07076328963053	20.975	0.015	1.8335757415498277
116.41339999999998	1.175	0.0	0.7707463914933368
116.4142	1.9500000000000002	0.0	1.2239825706820067
116.41460000000001	0.6	0.0	0.7990306627407986
116.41585294117647	2.55	0.0025	1.2239825706820067
116.41680000000001	1.525	0.0	0.7990306627407986
116.4175	1.1	0.0	0.7283199846221439
116.41803873239436	3.55	0.0025	1.2817175976009691
116.41859999999997	2.2	0.0	1.2182090679901105
116.41955489130436	4.6	0.0025	1.2817175976009691
116.4199668918919	3.7	0.0025	1.252850084141488
116.4206526717557	3.2750000000000004	0.0	1.2470765814495919
116.4209	1.6	0.0	0.7636753236814713
116.42164148148149	3.375	0.0	1.275944094909073
116.42224767441861	4.3	0.005	1.2239825706820067
